tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Doha,Qatar Exxon Mobil Open,Cecchinato,Stakhovsky,Berdych,Herbert,R32,,Quarterfinals,,1.49,2.67,,
Doha,Qatar Exxon Mobil Open,Verdasco,Lorenzi,Cecchinato,Lajovic,R32,,Quarterfinals,,2.53,1.53,,
Doha,Qatar Exxon Mobil Open,Berdych,Kohlschreiber,Bautista,Djokovic,R32,,Semifinals,,4.95,1.18,,
Doha,Qatar Exxon Mobil Open,Marterer,Gojowczyk,Berdych,Cecchinato,R32,,Semifinals,,1.45,2.78,,
Doha,Qatar Exxon Mobil Open,Hugues,Thiem,Bautista,Berdych,R32,,The Final,,1.6,2.37,,
Pune,Maharashtra Open,Anderson,Karlovic,Darcis,Carballes,F,,1st Round,,2.35,1.59,,
Pune,Maharashtra Open,Anderson,Simon,Munar,Albot,SF,,1st Round,,1.94,1.86,,
Pune,Maharashtra Open,Karlovic,Darcis,Donskoy,Andujar,SF,,1st Round,,1.51,2.53,,
Pune,Maharashtra Open,Anderson,Munar,Mmoh,Gunneswaran,QF,,1st Round,,1.74,2.09,,
Pune,Maharashtra Open,Simon,Paire,Gulbis,Sousa,QF,,1st Round,,1.35,3.19,,
Pune,Maharashtra Open,Darcis,Jaziri,Karlovic,Auger-Aliassime,QF,,1st Round,,2.16,1.7,,
Pune,Maharashtra Open,Karlovic,Gulbis,Bolelli,Istomin,QF,,1st Round,,2.11,1.72,,
Pune,Maharashtra Open,Anderson,Djere,Ivashka,Hurkacz,R16,,1st Round,,2.24,1.65,,
Pune,Maharashtra Open,Munar,Bolelli,Vesely,Hoang,R16,,1st Round,,1.88,1.92,,
Pune,Maharashtra Open,Simon,Ivashka,Paire,Monteiro,R16,,1st Round,,1.34,3.07,,
Pune,Maharashtra Open,Paire,Vesely,Ramanathan,Granollers,R16,,1st Round,,2.3,1.61,,
Pune,Maharashtra Open,Darcis,Mmoh,Djere,Kadhe,R16,,1st Round,,1.25,3.96,,
Pune,Maharashtra Open,Jaziri,Ramanathan,Karlovic,Donskoy,R16,,2nd Round,,1.66,2.22,,
Pune,Maharashtra Open,Karlovic,Donskoy,Gulbis,Chung,R16,,2nd Round,,3.25,1.34,,
Pune,Maharashtra Open,Gulbis,Chung,Paire,Vesely,R16,,2nd Round,,1.54,2.48,,
Pune,Maharashtra Open,Djere,Kadhe,Anderson,Djere,R32,,2nd Round,,1.32,3.31,,
Pune,Maharashtra Open,Bolelli,Istomin,Munar,Bolelli,R32,,2nd Round,,2.08,1.75,,
Pune,Maharashtra Open,Munar,Albot,Darcis,Mmoh,R32,,2nd Round,,2.42,1.56,,
Pune,Maharashtra Open,Ivashka,Hurkacz,Simon,Ivashka,R32,,2nd Round,,1.45,2.74,,
Pune,Maharashtra Open,Vesely,Hoang,Jaziri,Ramanathan,R32,,2nd Round,,1.94,1.86,,
Pune,Maharashtra Open,Paire,Monteiro,Karlovic,Gulbis,R32,,Quarterfinals,,2.12,1.73,,
Pune,Maharashtra Open,Darcis,Carballes,Darcis,Jaziri,R32,,Quarterfinals,,1.82,2,,
Pune,Maharashtra Open,Mmoh,Gunneswaran,Anderson,Munar,R32,,Quarterfinals,,1.3,3.57,,
Pune,Maharashtra Open,Ramanathan,Granollers,Simon,Paire,R32,,Quarterfinals,,1.56,2.44,,
Pune,Maharashtra Open,Donskoy,Andujar,Karlovic,Darcis,R32,,Semifinals,,1.53,2.53,,
Pune,Maharashtra Open,Karlovic,Auger,Anderson,Simon,R32,,Semifinals,,1.39,3.03,,
Pune,Maharashtra Open,Gulbis,Sousa,Anderson,Karlovic,R32,,The Final,,1.27,3.83,,
Auckland,ASB Classic,Sandgren,Norrie,Fritz,Copil,F,,1st Round,,1.59,2.34,,
Auckland,ASB Classic,Norrie,Lennard,Kohlschreiber,Klahn,SF,,1st Round,,1.48,2.64,,
Auckland,ASB Classic,Sandgren,Kohlschreiber,Struff,Djere,SF,,1st Round,,1.46,2.72,,
Auckland,ASB Classic,Norrie,Fritz,Norrie,Paire,QF,,1st Round,,1.66,2.23,,
Auckland,ASB Classic,Lennard,Carreno,Sandgren,Marterer,QF,,1st Round,,2.48,1.54,,
Auckland,ASB Classic,Sandgren,Mayer,Berrettini,Mcdonald,QF,,1st Round,,1.8,2.01,,
Auckland,ASB Classic,Kohlschreiber,Fognini,Sousa,Shapovalov,QF,,1st Round,,2.71,1.47,,
Auckland,ASB Classic,Fritz,Isner,Mayer,Johnson,R16,,1st Round,,2.56,1.51,,
Auckland,ASB Classic,Norrie,Sousa,Ferrer,Haase,R16,,1st Round,,1.72,2.12,,
Auckland,ASB Classic,Carreno,Ferrer,Gojowczyk,Pella,R16,,1st Round,,1.76,2.06,,
Auckland,ASB Classic,Lennard,Rubin,Statham,Chung,R16,,1st Round,,7.07,1.1,,
Auckland,ASB Classic,Mayer,Berrettini,Humbert,Cuevas,R16,,1st Round,,1.61,2.32,,
Auckland,ASB Classic,Sandgren,Cecchinato,Fritz,Isner,R16,,2nd Round,,2.4,1.58,,
Auckland,ASB Classic,Kohlschreiber,Humbert,Sandgren,Cecchinato,R16,,2nd Round,,1.63,2.28,,
Auckland,ASB Classic,Fognini,Gojowczyk,Mayer,Berrettini,R16,,2nd Round,,2.4,1.58,,
Auckland,ASB Classic,Fritz,Copil,Fognini,Gojowczyk,R32,,2nd Round,,1.61,2.32,,
Auckland,ASB Classic,Norrie,Paire,Kohlschreiber,Humbert,R32,,2nd Round,,1.59,2.36,,
Auckland,ASB Classic,Sousa,Shapovalov,Norrie,Sousa,R32,,2nd Round,,1.57,2.4,,
Auckland,ASB Classic,Ferrer,Haase,Carreno,Ferrer,R32,,2nd Round,,2.53,1.52,,
Auckland,ASB Classic,Lennard,Djere,Struff,Statham,R32,,2nd Round,,1.21,4.48,,
Auckland,ASB Classic,Rubin,Chung,Sandgren,Mayer,R32,,Quarterfinals,,1.67,2.23,,
