tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Indian Wells Masters,BNP Paribas Open,Federer,Gojowczyk,Federer,Gojowczyk,R64,,2nd Round,,1.05,10.26,,
Indian Wells Masters,BNP Paribas Open,Isner,Popyrin,Cilic,Lajovic,R64,,2nd Round,,1.17,5.08,,
Indian Wells Masters,BNP Paribas Open,Pella,Bolt,Pella,Bolt,R64,,2nd Round,,1.44,2.8,,
Indian Wells Masters,BNP Paribas Open,Rublev,Haase,Albot,Fognini,R64,,2nd Round,,1.84,1.97,,
Indian Wells Masters,BNP Paribas Open,Khachanov,Lopez,Shapovalov,Johnson,R64,,2nd Round,,1.7,2.16,,
Indian Wells Masters,BNP Paribas Open,Medvedev,McDonald,Isner,Popyrin,R64,,2nd Round,,1.21,4.45,,
Indian Wells Masters,BNP Paribas Open,Krajinovic,Goffin,Khachanov,Lopez,R64,,2nd Round,,1.33,3.36,,
Indian Wells Masters,BNP Paribas Open,Schwartzman,Carballes,Wawrinka,Fucsovics,R64,,2nd Round,,1.43,2.86,,
Indian Wells Masters,BNP Paribas Open,Nadal,Donaldson,Nadal,Donaldson,R64,,2nd Round,,1.04,12.35,,
Indian Wells Masters,BNP Paribas Open,Fratangelo,Ymer,Hurkacz,Pouille,R128,,2nd Round,,1.95,1.85,,
Indian Wells Masters,BNP Paribas Open,Kohlschreiber,Hugues,Raonic,Giron,R128,,3rd Round,,1.12,6.32,,
Indian Wells Masters,BNP Paribas Open,Mayer,Opelka,Karlovic,Gunneswaran,R128,,3rd Round,,1.61,2.33,,
Indian Wells Masters,BNP Paribas Open,Ramos,Dzumhur,Struff,Zverev,R128,,3rd Round,,4.94,1.18,,
Indian Wells Masters,BNP Paribas Open,Karlovic,Ebden,Kecmanovic,Djere,R128,,3rd Round,,1.74,2.11,,
Indian Wells Masters,BNP Paribas Open,Gunneswaran,Paire,Monfils,Ramos-Vinolas,R128,,3rd Round,,1.13,6.11,,
Indian Wells Masters,BNP Paribas Open,Jaziri,Klahn,Thiem,Simon,R128,,3rd Round,,1.4,2.97,,
Indian Wells Masters,BNP Paribas Open,Thompson,Delbonis,Nishioka,Auger-Aliassime,R128,,3rd Round,,2.28,1.64,,
Indian Wells Masters,BNP Paribas Open,Klizan,Zverev,Krajinovic,Medvedev,R128,,3rd Round,,3.31,1.33,,
Indian Wells Masters,BNP Paribas Open,Lennard,Millman,Hurkacz,Nishikori,R128,,3rd Round,,3.38,1.33,,
Indian Wells Masters,BNP Paribas Open,Giron,Chardy,Shapovalov,Cilic,R128,,3rd Round,,2.41,1.58,,
Indian Wells Masters,BNP Paribas Open,Querrey,Berrettini,Nadal,Schwartzman,R128,,3rd Round,,1.08,8.39,,
Indian Wells Masters,BNP Paribas Open,Auger,Norrie,Isner,Pella,R128,,3rd Round,,1.24,4.1,,
Indian Wells Masters,BNP Paribas Open,Nishioka,Kudla,Kohlschreiber,Djokovic,R128,,3rd Round,,9.64,1.06,,
Indian Wells Masters,BNP Paribas Open,Andreozzi,Ivashka,Khachanov,Rublev,R128,,3rd Round,,1.54,2.49,,
Indian Wells Masters,BNP Paribas Open,Marterer,Humbert,Edmund,Albot,R128,,3rd Round,,1.33,3.35,,
Indian Wells Masters,BNP Paribas Open,Mannarino,Sandgren,Federer,Wawrinka,R128,,3rd Round,,1.28,3.76,,
Indian Wells Masters,BNP Paribas Open,Hurkacz,Young,Nadal,Krajinovic,R128,,4th Round,,1.07,8.63,,
Indian Wells Masters,BNP Paribas Open,Johnson,Fritz,Kecmanovic,Nishioka,R128,,4th Round,,2.36,1.6,,
Indian Wells Masters,BNP Paribas Open,Lajovic,Daniel,Hurkacz,Shapovalov,R128,,4th Round,,3.01,1.39,,
Indian Wells Masters,BNP Paribas Open,Albot,Copil,Raonic,Struff,R128,,4th Round,,1.37,3.12,,
Indian Wells Masters,BNP Paribas Open,Jarry,Tiafoe,Federer,Edmund,R128,,4th Round,,1.21,4.52,,
Indian Wells Masters,BNP Paribas Open,Wawrinka,Evans,Khachanov,Isner,R128,,4th Round,,2.28,1.64,,
Indian Wells Masters,BNP Paribas Open,Gojowczyk,Seppi,Thiem,Karlovic,R128,,4th Round,,1.32,3.43,,
Indian Wells Masters,BNP Paribas Open,Popyrin,Munar,Monfils,Kohlschreiber,R128,,4th Round,,1.42,2.91,,
Indian Wells Masters,BNP Paribas Open,Bolt,Gulbis,Raonic,Kecmanovic,R128,,Quarterfinals,,1.17,5.14,,
Indian Wells Masters,BNP Paribas Open,Haase,Istomin,Thiem,Monfils,R128,,Quarterfinals,,2.26,1.65,,
Indian Wells Masters,BNP Paribas Open,Lopez,Berdych,Federer,Hurkacz,R128,,Quarterfinals,,1.09,7.9,,
Indian Wells Masters,BNP Paribas Open,McDonald,Sousa,Nadal,Khachanov,R128,,Quarterfinals,,1.16,5.41,,
Indian Wells Masters,BNP Paribas Open,Krajinovic,Kukushkin,Thiem,Raonic,R128,,Semifinals,,2.37,1.59,,
Indian Wells Masters,BNP Paribas Open,Carballes,Harrison,Federer,Nadal,R128,,Semifinals,,1.44,2.81,,
Indian Wells Masters,BNP Paribas Open,Donaldson,Ito,Thiem,Federer,R128,,The Final,,3.98,1.25,,
Miami Masters,Sony Ericsson Open,Federer,Isner,Delbonis,Gojowczyk,F,,1st Round,,2.14,1.71,,
Miami Masters,Sony Ericsson Open,Isner,Auger,Carballes,Kudla,SF,,1st Round,,2.31,1.62,,
Miami Masters,Sony Ericsson Open,Federer,Shapovalov,Andreozzi,Kukushkin,SF,,1st Round,,4.26,1.22,,
Miami Masters,Sony Ericsson Open,Isner,Bautista,Tipsarevic,Klahn,QF,,1st Round,,2.19,1.68,,
Miami Masters,Sony Ericsson Open,Auger,Coric,Zverev,Kuhn,QF,,1st Round,,2.05,1.78,,
Miami Masters,Sony Ericsson Open,Federer,Anderson,Hurkacz,Berrettini,QF,,1st Round,,2.04,1.77,,
Miami Masters,Sony Ericsson Open,Shapovalov,Tiafoe,Haase,Lacko,QF,,1st Round,,1.49,2.63,,
Miami Masters,Sony Ericsson Open,Bautista,Djokovic,Mayer,Ymer,R16,,1st Round,,1.5,2.61,,
Miami Masters,Sony Ericsson Open,Isner,Edmund,Thompson,Norrie,R16,,1st Round,,2.62,1.49,,
Miami Masters,Sony Ericsson Open,Auger,Basilashvili,Bublik,Sandgren,R16,,1st Round,,1.73,2.11,,
Miami Masters,Sony Ericsson Open,Coric,Kyrgios,Lajovic,Cuevas,R16,,1st Round,,2.84,1.43,,
Miami Masters,Sony Ericsson Open,Anderson,Thompson,Sonego,Klizan,R16,,1st Round,,1.53,2.51,,
Miami Masters,Sony Ericsson Open,Federer,Medvedev,Chardy,Jarry,R16,,1st Round,,1.59,2.36,,
Miami Masters,Sony Ericsson Open,Shapovalov,Tsitsipas,Dzumhur,Eubanks,R16,,1st Round,,1.74,2.11,,
Miami Masters,Sony Ericsson Open,Tiafoe,Goffin,Ivashka,Fabbiano,R16,,1st Round,,1.99,1.83,,
Miami Masters,Sony Ericsson Open,Djokovic,Delbonis,Ramos-Vinolas,Copil,R32,,1st Round,,1.67,2.21,,
Miami Masters,Sony Ericsson Open,Bautista,Fognini,Auger-Aliassime,Ruud,R32,,1st Round,,1.48,2.66,,
Miami Masters,Sony Ericsson Open,Edmund,Raonic,Marterer,Fritz,R32,,1st Round,,2.46,1.55,,
Miami Masters,Sony Ericsson Open,Isner,Ramos,Albot,Ebden,R32,,1st Round,,1.31,3.48,,
Miami Masters,Sony Ericsson Open,Auger,Hurkacz,Tomic,Monteiro,R32,,1st Round,,1.75,2.09,,
Miami Masters,Sony Ericsson Open,Basilashvili,Haase,Rublev,Daniel,R32,,1st Round,,1.26,3.9,,
Miami Masters,Sony Ericsson Open,Coric,Chardy,Lopez,Paire,R32,,1st Round,,2.03,1.79,,
Miami Masters,Sony Ericsson Open,Kyrgios,Lajovic,Munar,Gunneswaran,R32,,1st Round,,1.9,1.9,,
Miami Masters,Sony Ericsson Open,Anderson,Sousa,Sousa,Tseng,R32,,1st Round,,1.25,4.03,,
Miami Masters,Sony Ericsson Open,Thompson,Dimitrov,Krajinovic,Herbert,R32,,1st Round,,1.46,2.72,,
Miami Masters,Sony Ericsson Open,Medvedev,Opelka,Evans,Jaziri,R32,,1st Round,,1.43,2.83,,
Miami Masters,Sony Ericsson Open,Federer,Krajinovic,Opelka,Struff,R32,,1st Round,,2.03,1.79,,
Miami Masters,Sony Ericsson Open,Tsitsipas,Mayer,Andujar,Karlovic,R32,,1st Round,,3.75,1.27,,
Miami Masters,Sony Ericsson Open,Shapovalov,Rublev,Mannarino,Bedene,R32,,1st Round,,1.43,2.83,,
Miami Masters,Sony Ericsson Open,Goffin,Cecchinato,Kecmanovic,Gulbis,R32,,1st Round,,1.54,2.48,,
Miami Masters,Sony Ericsson Open,Tiafoe,Ferrer,Mcdonald,Humbert,R32,,1st Round,,1.76,2.07,,
Miami Masters,Sony Ericsson Open,Djokovic,Tomic,Ferrer,Querrey,R64,,1st Round,,2.28,1.63,,
Miami Masters,Sony Ericsson Open,Delbonis,Millman,Edmund,Ivashka,R64,,2nd Round,,1.2,4.6,,
Miami Masters,Sony Ericsson Open,Bautista,Tipsarevic,Chardy,Simon,R64,,2nd Round,,2.17,1.69,,
Miami Masters,Sony Ericsson Open,Fognini,Andreozzi,Lajovic,Nishikori,R64,,2nd Round,,5.18,1.16,,
Miami Masters,Sony Ericsson Open,Raonic,Marterer,Coric,Carballes,R64,,2nd Round,,1.21,4.39,,
Miami Masters,Sony Ericsson Open,Edmund,Ivashka,Basilashvili,Zverev,R64,,2nd Round,,1.28,3.7,,
Miami Masters,Sony Ericsson Open,Ramos,Pouille,Raonic,Marterer,R64,,2nd Round,,1.18,4.89,,
Miami Masters,Sony Ericsson Open,Isner,Sonego,Delbonis,Millman,R64,,2nd Round,,2.44,1.56,,
Miami Masters,Sony Ericsson Open,Hurkacz,Thiem,Isner,Sonego,R64,,2nd Round,,1.25,3.93,,
Miami Masters,Sony Ericsson Open,Auger,Fucsovics,Auger-Aliassime,Fucsovics,R64,,2nd Round,,2.02,1.8,,
Miami Masters,Sony Ericsson Open,Basilashvili,Zverev,Kyrgios,Bublik,R64,,2nd Round,,1.29,3.61,,
Miami Masters,Sony Ericsson Open,Haase,Harris,Ramos-Vinolas,Pouille,R64,,2nd Round,,2.39,1.58,,
Miami Masters,Sony Ericsson Open,Coric,Carballes,Haase,Harris,R64,,2nd Round,,1.58,2.4,,
Miami Masters,Sony Ericsson Open,Chardy,Simon,Bautista,Tipsarevic,R64,,2nd Round,,1.2,4.69,,
Miami Masters,Sony Ericsson Open,Kyrgios,Bublik,Hurkacz,Thiem,R64,,2nd Round,,3.18,1.35,,
Miami Masters,Sony Ericsson Open,Lajovic,Nishikori,Fognini,Andreozzi,R64,,2nd Round,,1.46,2.73,,
Miami Masters,Sony Ericsson Open,Anderson,Munar,Djokovic,Tomic,R64,,2nd Round,,1.03,12.75,,
Miami Masters,Sony Ericsson Open,Sousa,Johnson,Mayer,Pella,R64,,2nd Round,,2.1,1.74,,
Miami Masters,Sony Ericsson Open,Dimitrov,Lopez,Shapovalov,Evans,R64,,2nd Round,,1.53,2.51,,
Miami Masters,Sony Ericsson Open,Thompson,Khachanov,Sousa,Johnson,R64,,2nd Round,,2.37,1.59,,
Miami Masters,Sony Ericsson Open,Medvedev,Mannarino,Krajinovic,Wawrinka,R64,,2nd Round,,2.27,1.64,,
Miami Masters,Sony Ericsson Open,Opelka,Schwartzman,Thompson,Khachanov,R64,,2nd Round,,4.35,1.22,,
Miami Masters,Sony Ericsson Open,Krajinovic,Wawrinka,Cecchinato,Dzumhur,R64,,2nd Round,,1.69,2.17,,
Miami Masters,Sony Ericsson Open,Federer,Albot,Goffin,Andujar,R64,,2nd Round,,1.13,6.05,,
Miami Masters,Sony Ericsson Open,Tsitsipas,McDonald,Medvedev,Mannarino,R64,,2nd Round,,1.31,3.42,,
Miami Masters,Sony Ericsson Open,Mayer,Pella,Anderson,Munar,R64,,2nd Round,,1.52,2.54,,
Miami Masters,Sony Ericsson Open,Shapovalov,Evans,Dimitrov,Lopez,R64,,2nd Round,,1.54,2.47,,
Miami Masters,Sony Ericsson Open,Rublev,Cilic,Rublev,Cilic,R64,,2nd Round,,2.49,1.54,,
Miami Masters,Sony Ericsson Open,Cecchinato,Dzumhur,Opelka,Schwartzman,R64,,2nd Round,,2.11,1.73,,
Miami Masters,Sony Ericsson Open,Goffin,Andujar,Federer,Albot,R64,,2nd Round,,1.11,6.66,,
Miami Masters,Sony Ericsson Open,Tiafoe,Kecmanovic,Tsitsipas,Mcdonald,R64,,2nd Round,,1.27,3.84,,
Miami Masters,Sony Ericsson Open,Ferrer,Zverev,Tiafoe,Kecmanovic,R64,,2nd Round,,1.86,1.96,,
Miami Masters,Sony Ericsson Open,Tomic,Monteiro,Ferrer,Zverev,R128,,2nd Round,,4.05,1.24,,
Miami Masters,Sony Ericsson Open,Delbonis,Gojowczyk,Isner,Ramos-Vinolas,R128,,3rd Round,,1.21,4.52,,
Miami Masters,Sony Ericsson Open,Tipsarevic,Klahn,Bautista,Fognini,R128,,3rd Round,,1.41,2.93,,
Miami Masters,Sony Ericsson Open,Andreozzi,Kukushkin,Edmund,Raonic,R128,,3rd Round,,2.31,1.62,,
Miami Masters,Sony Ericsson Open,Marterer,Fritz,Basilashvili,Haase,R128,,3rd Round,,1.5,2.6,,
Miami Masters,Sony Ericsson Open,Ivashka,Fabbiano,Auger-Aliassime,Hurkacz,R128,,3rd Round,,2.11,1.74,,
Miami Masters,Sony Ericsson Open,Ramos,Copil,Djokovic,Delbonis,R128,,3rd Round,,1.03,13.64,,
Miami Masters,Sony Ericsson Open,Sonego,Klizan,Coric,Chardy,R128,,3rd Round,,1.5,2.63,,
Miami Masters,Sony Ericsson Open,Hurkacz,Berrettini,Kyrgios,Lajovic,R128,,3rd Round,,1.3,3.56,,
Miami Masters,Sony Ericsson Open,Auger,Ruud,Thompson,Dimitrov,R128,,3rd Round,,2.94,1.41,,
Miami Masters,Sony Ericsson Open,Zverev,Kuhn,Anderson,Sousa,R128,,3rd Round,,1.52,2.55,,
Miami Masters,Sony Ericsson Open,Haase,Lacko,Federer,Krajinovic,R128,,3rd Round,,1.19,4.77,,
Miami Masters,Sony Ericsson Open,Carballes,Kudla,Medvedev,Opelka,R128,,3rd Round,,1.28,3.69,,
Miami Masters,Sony Ericsson Open,Chardy,Jarry,Shapovalov,Rublev,R128,,3rd Round,,1.67,2.22,,
Miami Masters,Sony Ericsson Open,Bublik,Sandgren,Goffin,Cecchinato,R128,,3rd Round,,1.27,3.85,,
Miami Masters,Sony Ericsson Open,Lajovic,Cuevas,Tiafoe,Ferrer,R128,,3rd Round,,1.99,1.83,,
Miami Masters,Sony Ericsson Open,Munar,Gunneswaran,Tsitsipas,Mayer,R128,,3rd Round,,1.27,3.84,,
Miami Masters,Sony Ericsson Open,Sousa,Hsin,Auger-Aliassime,Basilashvili,R128,,4th Round,,1.79,2.04,,
Miami Masters,Sony Ericsson Open,Lopez,Paire,Isner,Edmund,R128,,4th Round,,1.85,1.97,,
Miami Masters,Sony Ericsson Open,Thompson,Norrie,Coric,Kyrgios,R128,,4th Round,,2.31,1.62,,
Miami Masters,Sony Ericsson Open,Mannarino,Bedene,Bautista,Djokovic,R128,,4th Round,,4.79,1.19,,
Miami Masters,Sony Ericsson Open,Opelka,Lennard,Anderson,Thompson,R128,,4th Round,,1.42,2.9,,
Miami Masters,Sony Ericsson Open,Krajinovic,Hugues,Tiafoe,Goffin,R128,,4th Round,,2.57,1.51,,
Miami Masters,Sony Ericsson Open,Albot,Ebden,Shapovalov,Tsitsipas,R128,,4th Round,,2.2,1.68,,
Miami Masters,Sony Ericsson Open,McDonald,Humbert,Federer,Medvedev,R128,,4th Round,,1.31,3.52,,
Miami Masters,Sony Ericsson Open,Mayer,Ymer,Isner,Bautista,R128,,Quarterfinals,,1.84,1.98,,
Miami Masters,Sony Ericsson Open,Evans,Jaziri,Auger-Aliassime,Coric,R128,,Quarterfinals,,2.22,1.67,,
Miami Masters,Sony Ericsson Open,Rublev,Daniel,Shapovalov,Tiafoe,R128,,Quarterfinals,,1.56,2.45,,
Miami Masters,Sony Ericsson Open,Dzumhur,Eubanks,Federer,Anderson,R128,,Quarterfinals,,1.18,4.86,,
Miami Masters,Sony Ericsson Open,Andujar,Karlovic,Isner,Auger-Aliassime,R128,,Semifinals,,1.51,2.6,,
Miami Masters,Sony Ericsson Open,Kecmanovic,Gulbis,Federer,Shapovalov,R128,,Semifinals,,1.2,4.56,,
Miami Masters,Sony Ericsson Open,Ferrer,Querrey,Federer,Isner,R128,,The Final,,1.25,4.03,,
Houston,U.S. Men's Clay Court Championships,Garin,Ruud,Harrison,Karlovic,F,,1st Round,,2.24,1.65,,
Houston,U.S. Men's Clay Court Championships,Ruud,Elahi,Ruud,Dellien,SF,,1st Round,,1.46,2.72,,
Houston,U.S. Men's Clay Court Championships,Garin,Querrey,Garin,Cuevas,SF,,1st Round,,2.32,1.6,,
Houston,U.S. Men's Clay Court Championships,Elahi,Thompson,Granollers,Fritz,QF,,1st Round,,2.24,1.65,,
Houston,U.S. Men's Clay Court Championships,Ruud,Granollers,Tomic,Kudla,QF,,1st Round,,1.83,1.98,,
Houston,U.S. Men's Clay Court Championships,Querrey,Tipsarevic,Galan,Lorenzi,QF,,1st Round,,2.05,1.76,,
Houston,U.S. Men's Clay Court Championships,Garin,Laaksonen,Laaksonen,Mcdonald,QF,,1st Round,,1.75,2.07,,
Houston,U.S. Men's Clay Court Championships,Elahi,Johnson,Garcia-Lopez,Rubin,R16,,1st Round,,1.54,2.45,,
Houston,U.S. Men's Clay Court Championships,Thompson,Giraldo,Giraldo,Klahn,R16,,1st Round,,1.44,2.77,,
Houston,U.S. Men's Clay Court Championships,Ruud,Opelka,Thompson,Krstin,R16,,1st Round,,1.55,2.45,,
Houston,U.S. Men's Clay Court Championships,Granollers,Tomic,Querrey,Fratangelo,R16,,1st Round,,1.64,2.25,,
Houston,U.S. Men's Clay Court Championships,Querrey,Garcia,Tipsarevic,Sandgren,R16,,1st Round,,2.7,1.46,,
Houston,U.S. Men's Clay Court Championships,Tipsarevic,Norrie,Granollers,Tomic,R16,,2nd Round,,1.6,2.32,,
Houston,U.S. Men's Clay Court Championships,Laaksonen,Harrison,Laaksonen,Harrison,R16,,2nd Round,,1.92,1.89,,
Houston,U.S. Men's Clay Court Championships,Garin,Chardy,Garin,Chardy,R16,,2nd Round,,1.69,2.15,,
Houston,U.S. Men's Clay Court Championships,Elahi,Lorenzi,Ruud,Opelka,R32,,2nd Round,,1.89,1.9,,
Houston,U.S. Men's Clay Court Championships,Giraldo,Klahn,Tipsarevic,Norrie,R32,,2nd Round,,2.26,1.63,,
Houston,U.S. Men's Clay Court Championships,Thompson,Krstin,Querrey,Garcia-Lopez,R32,,2nd Round,,1.46,2.68,,
Houston,U.S. Men's Clay Court Championships,Ruud,Dellien,Galan,Johnson,R32,,2nd Round,,2.83,1.42,,
Houston,U.S. Men's Clay Court Championships,Tomic,Kudla,Thompson,Giraldo,R32,,2nd Round,,1.62,2.29,,
Houston,U.S. Men's Clay Court Championships,Granollers,Fritz,Garin,Laaksonen,R32,,Quarterfinals,,1.46,2.7,,
Houston,U.S. Men's Clay Court Championships,Querrey,Fratangelo,Querrey,Tipsarevic,R32,,Quarterfinals,,1.4,2.94,,
Houston,U.S. Men's Clay Court Championships,Garcia,Rubin,Ruud,Granollers,R32,,Quarterfinals,,1.62,2.29,,
Houston,U.S. Men's Clay Court Championships,Tipsarevic,Sandgren,Galan,Thompson,R32,,Quarterfinals,,2.2,1.67,,
Houston,U.S. Men's Clay Court Championships,Laaksonen,McDonald,Garin,Querrey,R32,,Semifinals,,2.01,1.8,,
Houston,U.S. Men's Clay Court Championships,Harrison,Karlovic,Ruud,Galan,R32,,Semifinals,,1.31,3.47,,
Houston,U.S. Men's Clay Court Championships,Garin,Cuevas,Garin,Ruud,R32,,The Final,,1.67,2.2,,
Marrakech,Grand Prix Hassan II,Paire,Andujar,Andreozzi,Ramos-Vinolas,F,,1st Round,,2.42,1.56,,
Marrakech,Grand Prix Hassan II,Paire,Tsonga,Simon,Kovalik,SF,,1st Round,,1.37,3.07,,
Marrakech,Grand Prix Hassan II,Andujar,Simon,Edmund,Humbert,SF,,1st Round,,1.19,4.55,,
Marrakech,Grand Prix Hassan II,Paire,Munar,Daniel,Zverev,QF,,1st Round,,1.46,2.7,,
Marrakech,Grand Prix Hassan II,Tsonga,Sonego,Tsonga,Stebe,QF,,1st Round,,1.1,6.89,,
Marrakech,Grand Prix Hassan II,Simon,Daniel,Paire,Bedene,QF,,1st Round,,2.02,1.79,,
Marrakech,Grand Prix Hassan II,Andujar,Vesely,Herbert,Fabbiano,QF,,1st Round,,1.6,2.34,,
Marrakech,Grand Prix Hassan II,Munar,Zverev,Menendez-Maceiras,Verdasco,R16,,1st Round,,4.75,1.18,,
Marrakech,Grand Prix Hassan II,Paire,Hugues,Londero,Berlocq,R16,,1st Round,,1.52,2.53,,
Marrakech,Grand Prix Hassan II,Tsonga,Edmund,Munar,Bagnis,R16,,1st Round,,1.33,3.28,,
Marrakech,Grand Prix Hassan II,Sonego,Haase,Kohlschreiber,Davidovich,R16,,1st Round,,1.53,2.48,,
Marrakech,Grand Prix Hassan II,Daniel,Menendez,Sonego,Djere,R16,,1st Round,,2.2,1.66,,
Marrakech,Grand Prix Hassan II,Simon,Andreozzi,Haase,Jaziri,R16,,1st Round,,1.44,2.75,,
Marrakech,Grand Prix Hassan II,Andujar,Kohlschreiber,Vesely,Fognini,R16,,1st Round,,2.34,1.59,,
Marrakech,Grand Prix Hassan II,Vesely,Ignacio,Andujar,Delbonis,R16,,1st Round,,2.29,1.61,,
Marrakech,Grand Prix Hassan II,Zverev,Istomin,Zverev,Istomin,R32,,1st Round,,1.1,7,,
Marrakech,Grand Prix Hassan II,Munar,Bagnis,Sonego,Haase,R32,,2nd Round,,1.64,2.24,,
Marrakech,Grand Prix Hassan II,Paire,Bedene,Daniel,Menendez-Maceiras,R32,,2nd Round,,1.33,3.3,,
Marrakech,Grand Prix Hassan II,Hugues,Fabbiano,Simon,Andreozzi,R32,,2nd Round,,1.61,2.29,,
Marrakech,Grand Prix Hassan II,Edmund,Humbert,Tsonga,Edmund,R32,,2nd Round,,2.7,1.45,,
Marrakech,Grand Prix Hassan II,Tsonga,Marcel,Vesely,Londero,R32,,2nd Round,,1.75,2.06,,
Marrakech,Grand Prix Hassan II,Haase,Jaziri,Andujar,Kohlschreiber,R32,,2nd Round,,1.99,1.81,,
Marrakech,Grand Prix Hassan II,Sonego,Djere,Paire,Herbert,R32,,2nd Round,,1.68,2.16,,
Marrakech,Grand Prix Hassan II,Menendez,Verdasco,Munar,Zverev,R32,,2nd Round,,3.97,1.24,,
Marrakech,Grand Prix Hassan II,Daniel,Zverev,Simon,Daniel,R32,,Quarterfinals,,1.38,3.03,,
Marrakech,Grand Prix Hassan II,Andreozzi,Ramos,Andujar,Vesely,R32,,Quarterfinals,,1.73,2.1,,
Marrakech,Grand Prix Hassan II,Simon,Kovalik,Paire,Munar,R32,,Quarterfinals,,2.37,1.58,,
Marrakech,Grand Prix Hassan II,Kohlschreiber,Davidovich,Tsonga,Sonego,R32,,Quarterfinals,,1.43,2.79,,
Marrakech,Grand Prix Hassan II,Andujar,Delbonis,Andujar,Simon,R32,,Semifinals,,1.95,1.85,,
Marrakech,Grand Prix Hassan II,Ignacio,Berlocq,Paire,Tsonga,R32,,Semifinals,,3.03,1.38,,
Marrakech,Grand Prix Hassan II,Vesely,Fognini,Paire,Andujar,R32,,The Final,,2.16,1.69,,
Monte Carlo Masters,Monte Carlo Masters,Fognini,Lajovic,Coric,Hurkacz,F,,1st Round,,1.5,2.56,,
Monte Carlo Masters,Monte Carlo Masters,Lajovic,Medvedev,Dimitrov,Berrettini,SF,,1st Round,,1.74,2.1,,
Monte Carlo Masters,Monte Carlo Masters,Fognini,Nadal,Pella,Djere,SF,,1st Round,,1.68,2.18,,
Monte Carlo Masters,Monte Carlo Masters,Medvedev,Djokovic,Wawrinka,Pouille,QF,,1st Round,,1.39,3,,
Monte Carlo Masters,Monte Carlo Masters,Lajovic,Sonego,Fucsovics,Basilashvili,QF,,1st Round,,1.76,2.05,,
Monte Carlo Masters,Monte Carlo Masters,Fognini,Coric,Bautista,Millman,QF,,1st Round,,1.17,5.02,,
Monte Carlo Masters,Monte Carlo Masters,Nadal,Pella,Lajovic,Jaziri,QF,,1st Round,,1.36,3.13,,
Monte Carlo Masters,Monte Carlo Masters,Djokovic,Fritz,Medvedev,Sousa,R16,,1st Round,,1.55,2.44,,
Monte Carlo Masters,Monte Carlo Masters,Medvedev,Tsitsipas,Struff,Shapovalov,R16,,1st Round,,2.24,1.64,,
Monte Carlo Masters,Monte Carlo Masters,Lajovic,Thiem,Kohlschreiber,Daniel,R16,,1st Round,,1.32,3.34,,
Monte Carlo Masters,Monte Carlo Masters,Sonego,Norrie,Kukushkin,Chardy,R16,,1st Round,,2.53,1.52,,
Monte Carlo Masters,Monte Carlo Masters,Coric,Hugues,Cecchinato,Dzumhur,R16,,1st Round,,1.27,3.77,,
Monte Carlo Masters,Monte Carlo Masters,Fognini,Zverev,Goffin,Andreozzi,R16,,1st Round,,1.31,3.46,,
Monte Carlo Masters,Monte Carlo Masters,Pella,Cecchinato,Fognini,Rublev,R16,,1st Round,,2.06,1.76,,
Monte Carlo Masters,Monte Carlo Masters,Nadal,Dimitrov,Munar,Catarina,R16,,1st Round,,1.04,11.7,,
Monte Carlo Masters,Monte Carlo Masters,Djokovic,Kohlschreiber,Klizan,Delbonis,R32,,1st Round,,3.08,1.37,,
Monte Carlo Masters,Monte Carlo Masters,Fritz,Schwartzman,Albot,Bedene,R32,,1st Round,,2.47,1.54,,
Monte Carlo Masters,Monte Carlo Masters,Medvedev,Albot,Sonego,Seppi,R32,,1st Round,,1.48,2.63,,
Monte Carlo Masters,Monte Carlo Masters,Tsitsipas,Kukushkin,Schwartzman,Edmund,R32,,1st Round,,2.23,1.65,,
Monte Carlo Masters,Monte Carlo Masters,Thiem,Klizan,Auger-Aliassime,Londero,R32,,1st Round,,1.44,2.74,,
Monte Carlo Masters,Monte Carlo Masters,Lajovic,Goffin,Norrie,Mannarino,R32,,1st Round,,1.6,2.34,,
Monte Carlo Masters,Monte Carlo Masters,Norrie,Fucsovics,Fritz,Tsonga,R32,,1st Round,,5.56,1.14,,
Monte Carlo Masters,Monte Carlo Masters,Sonego,Khachanov,Herbert,Verdasco,R32,,1st Round,,2.37,1.58,,
Monte Carlo Masters,Monte Carlo Masters,Hugues,Nishikori,Simon,Popyrin,R32,,1st Round,,1.42,2.88,,
Monte Carlo Masters,Monte Carlo Masters,Coric,Munar,Pella,Cilic,R32,,2nd Round,,2.18,1.68,,
Monte Carlo Masters,Monte Carlo Masters,Fognini,Simon,Sonego,Khachanov,R32,,2nd Round,,2.3,1.61,,
Monte Carlo Masters,Monte Carlo Masters,Zverev,Auger,Djokovic,Kohlschreiber,R32,,2nd Round,,1.17,5.06,,
Monte Carlo Masters,Monte Carlo Masters,Pella,Cilic,Coric,Munar,R32,,2nd Round,,1.63,2.27,,
Monte Carlo Masters,Monte Carlo Masters,Cecchinato,Wawrinka,Cecchinato,Wawrinka,R32,,2nd Round,,2.43,1.56,,
Monte Carlo Masters,Monte Carlo Masters,Dimitrov,Lennard,Tsitsipas,Kukushkin,R32,,2nd Round,,1.24,4.06,,
Monte Carlo Masters,Monte Carlo Masters,Nadal,Bautista,Medvedev,Albot,R32,,2nd Round,,1.43,2.79,,
