tourney_name,Tournament,winner_name,loser_name,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Fernando Verdasco,Basic M.,Lopez F.,R16,,2nd Round,,2.67,1.46,,
Doha,Qatar Exxon Mobil Open,Guido Pella,Stefano Travaglia,Rublev A.,Verdasco F.,R16,,2nd Round,,2.17,1.68,,
Doha,Qatar Exxon Mobil Open,Mirza Basic,Feliciano Lopez,Gojowczyk P.,Berrettini M.,R16,,2nd Round,,1.57,2.38,,
Doha,Qatar Exxon Mobil Open,Peter Gojowczyk,Matteo Berrettini,Thiem D.,Bedene A.,R16,,2nd Round,,1.3,3.47,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Jan Lennard Struff,Pella G.,Travaglia S.,R16,,2nd Round,,1.44,2.73,,
Doha,Qatar Exxon Mobil Open,Stefanos Tsitsipas,Richard Gasquet,Monfils G.,Struff J.L.,R16,,2nd Round,,1.61,2.3,,
Doha,Qatar Exxon Mobil Open,Dominic Thiem,Aljaz Bedene,Tsitsipas S.,Gasquet R.,R16,,2nd Round,,3.04,1.37,,
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Borna Coric,Pella G.,Basic M.,QF,,Quarterfinals,,1.52,2.5,,
Doha,Qatar Exxon Mobil Open,Guido Pella,Mirza Basic,Rublev A.,Coric B.,QF,,Quarterfinals,,2.06,1.76,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Peter Gojowczyk,Thiem D.,Tsitsipas S.,QF,,Quarterfinals,,1.39,2.98,,
Doha,Qatar Exxon Mobil Open,Dominic Thiem,Stefanos Tsitsipas,Monfils G.,Gojowczyk P.,QF,,Quarterfinals,,1.52,2.54,,
Doha,Qatar Exxon Mobil Open,Andrey Rublev,Guido Pella,Rublev A.,Pella G.,SF,,Semifinals,,1.52,2.54,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Dominic Thiem,Monfils G.,Thiem D.,SF,,Semifinals,,2.52,1.53,,
Doha,Qatar Exxon Mobil Open,Gael Monfils,Andrey Rublev,Monfils G.,Rublev A.,F,,The Final,,1.62,2.3,,
Pune,Tata Open,Thiago Monteiro,Ruben Bemelmans,Jarry N.,Andujar P.,R32,,1st Round,,1.37,3.04,,
Pune,Tata Open,Laslo Djere,Marius Copil,Fucsovics M.,Kicker N.,R32,,1st Round,,1.24,3.99,,
Pune,Tata Open,Mikhail Kukushkin,Radu Albot,Kukushkin M.,Albot R.,R32,,1st Round,,1.59,2.35,,
Pune,Tata Open,Marton Fucsovics,Nicolas Kicker,Ojeda Lara R.,Vesely J.,R32,,1st Round,,3.19,1.34,,
Pune,Tata Open,Nicolas Jarry,Pablo Andujar,Herbert P.H.,Cecchinato M.,R32,,1st Round,,1.26,3.74,,
Pune,Tata Open,Robin Haase,Blaz Kavcic,Simon G.,Sandgren T.,R32,,1st Round,,1.46,2.68,,
Pune,Tata Open,Ricardo Ojeda Lara,Jiri Vesely,Ramanathan R.,Carballes Baena R.,R32,,1st Round,,1.65,2.21,,
Pune,Tata Open,Ilya Ivashka,Sumit Nagal,Ivashka I.,Nagal S.,R32,,1st Round,,1.65,2.23,,
