tourney_name,X,X.1,Winner,Loser,roundno,Round.,AvgW,AvgL,Avgoddsw,Avgoddsl
Pune,Ivashka,Hurkacz,Simon,Ivashka,5,4,1.45,2.74,,
Pune,Vesely,Hoang,Jaziri,Ramanathan,5,4,1.94,1.86,,
Pune,Paire,Monteiro,Karlovic,Gulbis,5,3,2.12,1.73,,
Pune,Darcis,Carballes,Darcis,Jaziri,5,3,1.82,2,,
Pune,Mmoh,Gunneswaran,Anderson,Munar,5,3,1.3,3.57,,
Pune,Ramanathan,Granollers,Simon,Paire,5,3,1.56,2.44,,
Pune,Donskoy,Andujar,Karlovic,Darcis,5,2,1.53,2.53,,
Pune,Karlovic,Auger,Anderson,Simon,5,2,1.39,3.03,,
Pune,Gulbis,Sousa,Anderson,Karlovic,5,1,1.27,3.83,,
Auckland,Sandgren,Norrie,Fritz,Copil,1,5,1.59,2.34,,
Auckland,Norrie,Lennard,Kohlschreiber,Klahn,2,5,1.48,2.64,,
Auckland,Sandgren,Kohlschreiber,Struff,Djere,2,5,1.46,2.72,,
Auckland,Norrie,Fritz,Norrie,Paire,3,5,1.66,2.23,,
Auckland,Lennard,Carreno,Sandgren,Marterer,3,5,2.48,1.54,,
Auckland,Sandgren,Mayer,Berrettini,Mcdonald,3,5,1.8,2.01,,
Auckland,Kohlschreiber,Fognini,Sousa,Shapovalov,3,5,2.71,1.47,,
Auckland,Fritz,Isner,Mayer,Johnson,4,5,2.56,1.51,,
Auckland,Norrie,Sousa,Ferrer,Haase,4,5,1.72,2.12,,
Auckland,Carreno,Ferrer,Gojowczyk,Pella,4,5,1.76,2.06,,
Auckland,Lennard,Rubin,Statham,Chung,4,5,7.07,1.1,,
Auckland,Mayer,Berrettini,Humbert,Cuevas,4,5,1.61,2.32,,
Auckland,Sandgren,Cecchinato,Fritz,Isner,4,4,2.4,1.58,,
Auckland,Kohlschreiber,Humbert,Sandgren,Cecchinato,4,4,1.63,2.28,,
Auckland,Fognini,Gojowczyk,Mayer,Berrettini,4,4,2.4,1.58,,
Auckland,Fritz,Copil,Fognini,Gojowczyk,5,4,1.61,2.32,,
Auckland,Norrie,Paire,Kohlschreiber,Humbert,5,4,1.59,2.36,,
Auckland,Sousa,Shapovalov,Norrie,Sousa,5,4,1.57,2.4,,
Auckland,Ferrer,Haase,Carreno,Ferrer,5,4,2.53,1.52,,
Auckland,Lennard,Djere,Struff,Statham,5,4,1.21,4.48,,
Auckland,Rubin,Chung,Sandgren,Mayer,5,3,1.67,2.23,,
Auckland,Mayer,Johnson,Kohlschreiber,Fognini,5,3,1.53,2.54,,
Auckland,Berrettini,McDonald,Norrie,Fritz,5,3,1.82,2.01,,
Auckland,Sandgren,Marterer,Struff,Carreno,5,3,1.8,2.02,,
Auckland,Humbert,Cuevas,Sandgren,Kohlschreiber,5,2,2.9,1.42,,
Auckland,Kohlschreiber,Klahn,Norrie,Struff,5,2,1.64,2.27,,
Auckland,Gojowczyk,Pella,Sandgren,Norrie,5,1,2.18,1.7,,
Sydney,De,Seppi,Klizan,Popyrin,1,5,1.68,2.18,,
Sydney,Seppi,Schwartzman,Thompson,Mannarino,2,5,1.63,2.28,,
Sydney,De,Simon,Querrey,Jaziri,2,5,1.36,3.16,,
Sydney,Seppi,Tsitsipas,Opelka,Ramos-Vinolas,3,5,1.59,2.36,,
Sydney,Schwartzman,Nishioka,De,Lajovic,3,5,1.29,3.59,,
Sydney,Simon,Millman,Andreozzi,Ebden,3,5,4.2,1.22,,
Sydney,De,Thompson,Nishioka,Harrison,3,5,1.72,2.13,,
Sydney,Tsitsipas,Andreozzi,Seppi,Chardy,4,5,2.43,1.56,,
Sydney,Seppi,Klizan,Garcia-Lopez,Kudla,4,5,2.07,1.76,,
Sydney,Schwartzman,Garcia,Rublev,Pouille,4,5,1.53,2.5,,
Sydney,Nishioka,Rublev,Millman,Tiafoe,4,5,1.61,2.33,,
Sydney,Millman,Fucsovics,Fucsovics,Duckworth,4,5,1.36,3.15,,
Sydney,Simon,Querrey,Thompson,Daniel,4,4,1.47,2.69,,
Sydney,De,Opelka,Nishioka,Rublev,4,4,2.4,1.57,,
Sydney,Thompson,Daniel,De,Opelka,4,4,1.17,5.39,,
Sydney,Andreozzi,Ebden,Schwartzman,Garcia-Lopez,5,4,1.58,2.4,,
Sydney,Klizan,Popyrin,Seppi,Klizan,5,4,1.81,2,,
Sydney,Seppi,Chardy,Tsitsipas,Andreozzi,5,4,1.14,5.64,,
Sydney,Garcia,Kudla,Millman,Fucsovics,5,4,2.07,1.76,,
Sydney,Nishioka,Harrison,Simon,Querrey,5,4,1.93,1.88,,
Sydney,Rublev,Pouille,Seppi,Tsitsipas,5,3,3.49,1.31,,
Sydney,Fucsovics,Duckworth,Schwartzman,Nishioka,5,3,1.74,2.11,,
Sydney,Millman,Tiafoe,De,Thompson,5,3,1.29,3.6,,
Sydney,Querrey,Jaziri,Simon,Millman,5,3,1.8,2.02,,
Sydney,De,Lajovic,Seppi,Schwartzman,5,2,2.63,1.5,,
Sydney,Opelka,Ramos,De,Simon,5,2,1.42,2.91,,
Sydney,Thompson,Mannarino,De,Seppi,5,1,1.36,3.22,,
Australian Open,Djokovic,Nadal,Anderson,Mannarino,1,7,1.06,9.96,,
Australian Open,Nadal,Tsitsipas,Basilashvili,Eubanks,2,7,1.23,4.28,,
Australian Open,Djokovic,Pouille,Albot,Mmoh,2,7,2.14,1.72,,
Australian Open,Nadal,Tiafoe,Travaglia,Andreozzi,3,7,1.44,2.82,,
Australian Open,Tsitsipas,Bautista,Verdasco,Kecmanovic,3,7,1.47,2.72,,
Australian Open,Pouille,Raonic,Cuevas,Lajovic,3,7,3.11,1.38,,
Australian Open,Djokovic,Nishikori,Haase,Garcia-Lopez,3,7,2.08,1.76,,
Australian Open,Nadal,Berdych,Tsitsipas,Berrettini,4,7,1.4,3,,
Australian Open,Tiafoe,Dimitrov,Dimitrov,Tipsarevic,4,7,1.06,9.97,,
Australian Open,Tsitsipas,Federer,Tiafoe,Gunneswaran,4,7,1.3,3.61,,
Australian Open,Bautista,Cilic,Nadal,Duckworth,4,7,1.04,11.64,,
Australian Open,Pouille,Coric,Fabbiano,Kubler,4,7,2.04,1.79,,
Australian Open,Raonic,Zverev,Opelka,Isner,4,7,2.75,1.46,,
Australian Open,Nishikori,Carreno,Schwartzman,Molleker,4,7,1.13,6.2,,
Australian Open,Djokovic,Medvedev,Evans,Ito,4,7,1.33,3.38,,
Australian Open,Nadal,De,Kudla,Polmans,5,7,1.27,3.84,,
Australian Open,Berdych,Schwartzman,Khachanov,Gojowczyk,5,7,1.1,7.07,,
Australian Open,Dimitrov,Fabbiano,De,Sousa,5,7,1.05,11.2,,
Australian Open,Tiafoe,Seppi,Troicki,Carballes,5,7,1.34,3.32,,
Australian Open,Federer,Fritz,Mcdonald,Rublev,5,7,3.46,1.32,,
Australian Open,Tsitsipas,Basilashvili,Laaksonen,Basic,5,7,1.81,2.01,,
Australian Open,Bautista,Khachanov,Berdych,Edmund,5,7,1.42,2.89,,
Australian Open,Cilic,Verdasco,Thompson,Lopez,5,7,1.31,3.49,,
Australian Open,Pouille,Popyrin,Ebden,Struff,5,7,2.37,1.6,,
Australian Open,Coric,Krajinovic,Seppi,Johnson,5,7,1.84,1.98,,
Australian Open,Raonic,Hugues,Monfils,Dzumhur,5,7,1.54,2.52,,
Australian Open,Zverev,Bolt,Nishioka,Sandgren,5,7,1.77,2.07,,
Australian Open,Nishikori,Sousa,Millman,Delbonis,5,7,1.24,4.12,,
Australian Open,Carreno,Fognini,Fritz,Norrie,5,7,2,1.82,,
Australian Open,Medvedev,Goffin,Bautista,Murray,5,7,1.21,4.55,,
Australian Open,Djokovic,Shapovalov,Cilic,Tomic,5,7,1.25,4,,
Australian Open,Nadal,Ebden,Federer,Istomin,6,7,1.02,14.98,,
