AS_home_advan,AS_sur_hard,AS_sur_clay,AS_sur_grass,AS_tournie_level,AS_left_hand_advan,AS_age,AS_fatigue,AS_rank_points,AS_serve.returnpt,AS_return.servept,AS_serve.returng,AS_return.serveg,AS_serve.returnpt_os,AS_return.servept_os,AS_serve.returng_os,AS_return.serveg_os,AS_serve.returnpt_hth,AS_return.servept_hth,AS_serve.returng_hth,AS_return.serveg_hth,AS_serve.returnpt_hth_os,AS_return.servept_hth_os,AS_serve.returng_hth_os,AS_return.serveg_hth_os,AS_serve.returnpt_co,AS_return.servept_co,AS_serve.returng_co,AS_return.serveg_co,AS_serve.returnpt_co_os,AS_return.servept_co_os,AS_serve.returng_co_os,AS_return.serveg_co_os,AS_matchw,AS_matchw_os,AS_hth_matchw,AS_hth_matchw_os,AS_matchw_co,AS_matchw_co_os,AS_tbw,AS_rank,AS_win_lose_binary
0,1,0,0,0,1,2.00958248,59,-525,0.616667603,0.384845099,0.727051686,0.242515338,0.614879517,0.376328372,0.725418233,0.227330752,0,0,0,0,0,0,0,0,0.618720952,0.394692859,0.735569401,0.280292889,0.618724887,0.385556846,0.759420578,0.264730466,0.47826087,0.413131686,0,0,0.590909091,0.565217391,0.485773768,-32,0
0,1,0,0,1,0,-3.44421629,0,-72,0.643599736,0.320792292,0.790448142,0.137088104,0.639932543,0.32111002,0.780140001,0.136573127,0.706896552,0.237113402,0.882352941,0.058823529,0,0,0,0,0.636459399,0.314059806,0.775202391,0.121715323,0.630176842,0.31216792,0.742869347,0.110540054,0.442984315,0.44305595,0,0,0.407407407,0.386138614,0.553822746,-6,1
0,1,0,0,0,1,-0.87063655,-5,743,0.655568127,0.348048715,0.79739679,0.181745359,0.643217495,0.360146377,0.778337156,0.194944648,0.708001768,0.30332871,0.94117647,0.123161765,0,0,0,0,0.680402179,0.347449016,0.855427431,0.17251388,0.666177696,0.356695852,0.841513951,0.181743058,0.566676064,0.526834612,1,0,0.687203791,0.617021276,0.464745239,60,1
-1,1,0,0,1,1,1.48665297,-80,795,0.648528947,0.363156852,0.811501361,0.232105576,0.652557956,0.362356793,0.827475607,0.234130326,0.633856682,0.308658171,0.781746032,0.066666667,0.648148148,0.25862069,0.777777778,0,0.646917683,0.363303684,0.822603504,0.219014569,0.650967537,0.353000733,0.846058892,0.195057415,0.488142293,0.503875969,0,0,0.515981735,0.5,0.432076163,32,0
0,1,0,0,0,0,-1.2128679,-63,850,0.642067839,0.370765339,0.800261033,0.248877146,0.648753184,0.359460867,0.800182261,0.230873068,0.767857143,0.422535211,0.909090909,0.272727273,0.767857143,0.422535211,0.909090909,0.272727273,0.643125475,0.371973944,0.807438154,0.244923005,0.66042914,0.349409676,0.85576445,0.218892081,0.549696645,0.522522523,1,1,0.565217391,0.496598639,0.571633238,34,0
0,1,0,0,0,-1,2.4421629,3,-210,0.64469788,0.371231782,0.788738928,0.22055462,0.640281143,0.370278199,0.787459697,0.226838965,0.507042254,0.34375,0.555555556,0.111111111,0.507042254,0.34375,0.555555556,0.111111111,0.649397977,0.355069171,0.809828887,0.175110654,0.633819477,0.349882316,0.783004831,0.170522194,0.480554076,0.47339527,0,0,0.402061856,0.3,0.390438247,-25,0
0,0,1,0,1,0,4.13415469,0,-640,0.610987047,0.38321053,0.729759511,0.273028313,0.598950606,0.391755315,0.690866426,0.290081067,0.495731262,0.303163152,0.556980057,0.108465608,0.474576271,0.283018868,0.555555556,0.111111111,0.613915633,0.38791488,0.735369104,0.286363045,0.586913785,0.401592249,0.673155141,0.295983642,0.503885512,0.498041579,0,0,0.541639344,0.492063492,0.489795919,-10,0
0,1,0,0,0,0,-0.5174538,133,-2135,0.646835917,0.358226683,0.795181747,0.215753179,0.661045969,0.359518539,0.818318376,0.2243806,0.523364486,0.365853659,0.571428571,0.214285714,0.523364486,0.365853659,0.571428571,0.214285714,0.634268775,0.358687452,0.7709443,0.213170252,0.65236672,0.363717434,0.799598114,0.228627738,0.484784147,0.514979464,0,0,0.468886941,0.516320475,0.506578947,-11,0
0,1,0,0,1,1,-0.04380561,-57,6285,0.668450279,0.384720807,0.846050777,0.289381529,0.664355312,0.371724412,0.840738101,0.259141251,0.764848743,0.356297288,0.977777778,0.213756614,0.739109848,0.318229716,0.966666666,0.20952381,0.66784552,0.392132879,0.849337432,0.305218452,0.666499376,0.380190939,0.841324181,0.275359555,0.585862257,0.567623937,1,1,0.601081812,0.572115385,0.486213235,31,1
0,1,0,0,0,0,-4.09856263,135,-1700,0.598717968,0.376387774,0.716039982,0.262352173,0.599062027,0.367297918,0.715620929,0.250862132,0,0,0,0,0,0,0,0,0.597491546,0.378353456,0.72539221,0.262340825,0.587729486,0.373760839,0.6877385,0.262777011,0.420062696,0.429752066,0,0,0.428571429,0.47826087,0.379746835,-52,0
